version,discovery_source,family,link_text,href,absolute_url,download_allowed_in_v2_11c,normalization_allowed,rebuild_allowed
v2.11C,cboe_europe_reference_data_page,symbols_csv_candidate,BXE,https://accounteu.cboe.com/bxe/market_data/symbol_listing/csv/,https://accounteu.cboe.com/bxe/market_data/symbol_listing/csv/,yes,no,no
v2.11C,cboe_europe_reference_data_page,symbols_csv_candidate,CXE,https://accounteu.cboe.com/cxe/market_data/symbol_listing/csv/,https://accounteu.cboe.com/cxe/market_data/symbol_listing/csv/,yes,no,no
v2.11C,cboe_europe_reference_data_page,symbols_csv_candidate,DXE,https://accounteu.cboe.com/dxe/market_data/symbol_listing/csv/,https://accounteu.cboe.com/dxe/market_data/symbol_listing/csv/,yes,no,no
v2.11C,cboe_europe_reference_data_page,symbols_csv_candidate,TRF EU,https://accounteu.cboe.com/trf/market_data/symbol_listing/csv/?jurisdiction=EU,https://accounteu.cboe.com/trf/market_data/symbol_listing/csv/?jurisdiction=EU,yes,no,no
v2.11C,cboe_europe_reference_data_page,symbols_csv_candidate,TRF UK,https://accounteu.cboe.com/trf/market_data/symbol_listing/csv/?jurisdiction=UK,https://accounteu.cboe.com/trf/market_data/symbol_listing/csv/?jurisdiction=UK,yes,no,no
v2.11C,cboe_europe_reference_data_page,symbols_csv_candidate,SIS,https://accounteu.cboe.com/sis/market_data/symbol_listing/csv/,https://accounteu.cboe.com/sis/market_data/symbol_listing/csv/,yes,no,no
v2.11C,cboe_europe_reference_data_page,live_symbols_enhanced_csv,BXE,https://accounteu.cboe.com/bxe/market_data/symbol_listing/enhanced_csv/,https://accounteu.cboe.com/bxe/market_data/symbol_listing/enhanced_csv/,yes,no,no
v2.11C,cboe_europe_reference_data_page,live_symbols_enhanced_csv,CXE,https://accounteu.cboe.com/cxe/market_data/symbol_listing/enhanced_csv/,https://accounteu.cboe.com/cxe/market_data/symbol_listing/enhanced_csv/,yes,no,no
v2.11C,cboe_europe_reference_data_page,live_symbols_enhanced_csv,DXE,https://accounteu.cboe.com/dxe/market_data/symbol_listing/enhanced_csv/,https://accounteu.cboe.com/dxe/market_data/symbol_listing/enhanced_csv/,yes,no,no
v2.11C,cboe_europe_reference_data_page,live_symbols_enhanced_csv,TRF EU,https://accounteu.cboe.com/trf/market_data/symbol_listing/enhanced_csv/?jurisdiction=EU,https://accounteu.cboe.com/trf/market_data/symbol_listing/enhanced_csv/?jurisdiction=EU,yes,no,no
v2.11C,cboe_europe_reference_data_page,live_symbols_enhanced_csv,SIS,https://accounteu.cboe.com/sis/market_data/symbol_listing/enhanced_csv/,https://accounteu.cboe.com/sis/market_data/symbol_listing/enhanced_csv/,yes,no,no
v2.11C,cboe_europe_reference_data_page,symbols_csv_candidate,BXE,https://accounteu.cboe.com/bxe/market_data/symbol_listing/tickcsv/,https://accounteu.cboe.com/bxe/market_data/symbol_listing/tickcsv/,yes,no,no
v2.11C,cboe_europe_reference_data_page,symbols_csv_candidate,CXE,https://accounteu.cboe.com/cxe/market_data/symbol_listing/tickcsv/,https://accounteu.cboe.com/cxe/market_data/symbol_listing/tickcsv/,yes,no,no
v2.11C,cboe_europe_reference_data_page,symbols_csv_candidate,DXE,https://accounteu.cboe.com/dxe/market_data/symbol_listing/tickcsv/,https://accounteu.cboe.com/dxe/market_data/symbol_listing/tickcsv/,yes,no,no
v2.11C,cboe_europe_reference_data_page,symbols_csv_candidate,TRF,https://accounteu.cboe.com/trf/market_data/symbol_listing/tickcsv/,https://accounteu.cboe.com/trf/market_data/symbol_listing/tickcsv/,yes,no,no
v2.11C,cboe_europe_reference_data_page,symbols_csv_candidate,SIS,https://accounteu.cboe.com/sis/market_data/symbol_listing/tickcsv/,https://accounteu.cboe.com/sis/market_data/symbol_listing/tickcsv/,yes,no,no
